GeneID	CHROM	start	end
Glyma.10G118400	10	29961364	29962704
Glyma.10G118500	10	30041199	30041701
Glyma.10G118600	10	30103815	30105812
Glyma.14G043100	14	3287468	3288293
Glyma.14G043200	14	3292580	3295935
Glyma.14G043300	14	3298338	3303958
Glyma.20G013500	20	1183713	1191776
Glyma.20G013600	20	1214020	1216156
Glyma.20G013700	20	1223277	1224375
Glyma.07G085400	7	7870356	7876333
Glyma.07G085500	7	7877189	7883386
Glyma.02G191200	2	36124471	36126507
Glyma.02G191300	2	36150763	36151353
Glyma.02G191400	2	36151913	36154488
Glyma.13G074400	13	17685948	17686529
Glyma.13G074500	13	17691103	17693499
Glyma.13G074600	13	17715730	17720618
Glyma.13G074700	13	17721685	17729903
Glyma.07G085600	7	7891876	7896291
Glyma.07G085700	7	7910707	7915213
Glyma.01G001000	1	196256	201895
Glyma.01G001100	1	205453	222233
Glyma.01G001200	1	221661	225775
Glyma.08G180400	8	14441475	14446750
Glyma.08G180500	8	14458186	14459870
Glyma.08G180600	8	14463100	14469119
Glyma.08G180700	8	14478656	14483707
Glyma.14G043100	14	3287468	3288293
Glyma.14G043200	14	3292580	3295935
Glyma.14G043300	14	3298338	3303958
Glyma.20G013500	20	1183713	1191776
Glyma.20G013600	20	1214020	1216156
Glyma.20G013700	20	1223277	1224375
Glyma.07G085400	7	7870356	7876333
Glyma.07G085500	7	7877189	7883386
Glyma.02G191200	2	36124471	36126507
Glyma.02G191300	2	36150763	36151353
Glyma.02G191400	2	36151913	36154488
